"tod","Late","Exposed","Infected","cosFull","sinFull","cosHalf","sinHalf","group","Fish_id","dwellTime1","dwellTime2","dwellTime3"
1,"0",0,0,0.999990480720734,0.00436330928474657,0.999961923064171,0.00872653549837393,"1","F",8.31853830869386,8.094649853688,6.57593721443004
2,"0",0,0,0.999961923064171,0.00872653549837393,0.999847695156391,0.0174524064372835,"1","F",8.31545924359148,8.07841655411517,6.57417982039397
3,"0",0,0,0.999914327574007,0.0130895955713444,0.999657324975557,0.0261769483078731,"1","F",8.31240015243907,8.06232141181681,6.57245132981029
4,"0",0,0,0.999847695156391,0.0174524064372835,0.999390827019096,0.034899496702501,"1","F",8.3093610701892,8.04636394725594,6.57075175138857
5,"0",0,0,0.999762027079909,0.0218148850345611,0.999048221581858,0.043619387365336,"1","F",8.30634203151476,8.03054368405878,6.56908109371193
6,"0",0,0,0.999657324975557,0.0261769483078731,0.998629534754574,0.0523359562429438,"1","F",8.30334307080966,8.01486014902912,6.56743936523844
7,"0",0,0,0.999533590836713,0.0305385132098227,0.998134798421867,0.0610485395348569,"1","F",8.30036422218905,7.99931287216145,6.56582657430249
8,"0",0,0,0.999390827019096,0.034899496702501,0.997564050259824,0.0697564737441253,"1","F",8.29740551949135,7.98390138665377,6.56424272911568
9,"0",0,0,0.999229036240723,0.0392598157590686,0.996917333733128,0.0784590957278449,"1","F",8.29446699627829,7.96862522892138,6.5626878377675
10,"0",0,0,0.999048221581858,0.043619387365336,0.996194698091746,0.0871557427476582,"1","F",8.29154868583555,7.95348393860877,6.56116190822786
11,"0",0,0,0.998848386484951,0.0479781285213439,0.995396198367179,0.095845752520224,"1","F",8.28865062117438,7.93847705860298,6.55966494834615
12,"0",0,0,0.998629534754574,0.0523359562429438,0.994521895368273,0.104528463267653,"1","F",8.28577283503159,7.9236041350448,6.55819696585399
13,"0",0,0,0.998391670557349,0.0566927875633775,0.993571855676587,0.113203213767907,"1","F",8.28291535987091,7.90886471734098,6.55675796836522
14,"0",0,0,0.998134798421867,0.0610485395348569,0.992546151641322,0.121869343405147,"1","F",8.28007822788391,7.89425835817656,6.55534796337747
15,"0",0,0,0.997858923238603,0.0654031292301431,0.99144486137381,0.130526192220052,"1","F",8.2772614709902,7.87978461352577,6.55396695827289
16,"0",0,0,0.997564050259824,0.0697564737441253,0.99026806874157,0.139173100960065,"1","F",8.27446512083884,7.86544304266363,6.55261496031903
17,"0",0,0,0.997250185099486,0.0741084901953992,0.989015863361917,0.147809411129611,"1","F",8.27168920880854,7.85123320817684,6.55129197666997
